dependency,integration,minimum_tracer_supported,max_tracer_supported,auto-instrumented
@anthropic-ai/claude-agent-sdk,claude-agent-sdk,0.2.113,0.3.226,True
@anthropic-ai/sdk,anthropic,0.14.0,0.117.1,True
@apollo/gateway,apollo,2.3.0,2.14.3,True
@aws-sdk/smithy-client,aws-sdk,3.0.0,3.374.0,True
@aws/durable-execution-sdk-js,aws-durable-execution-sdk-js,1.1.0,2.2.0,True
@azure/cosmos,azure-cosmos,4.4.1,4.10.0,True
@azure/event-hubs,azure-event-hubs,6.0.0,6.0.4,True
@azure/functions,azure-functions,4.0.0,4.16.2,True
@azure/service-bus,azure-service-bus,7.9.2,7.9.5,True
@confluentinc/kafka-javascript,confluentinc-kafka-javascript,1.0.0,1.10.0,True
@cucumber/cucumber,cucumber,7.0.0,13.2.1,True
@elastic/elasticsearch,elasticsearch,5.6.16,9.5.0,True
@elastic/transport,elasticsearch,8.0.0,9.4.0,True
@google-cloud/pubsub,google-cloud-pubsub,1.2.0,6.0.1,True
@google-cloud/vertexai,google-cloud-vertexai,1.0.0,1.12.0,True
@google/genai,google-genai,1.19.0,2.17.1,True
@grpc/grpc-js,grpc,1.0.3,1.14.4,True
@hapi/hapi,hapi,17.9.0,21.4.10,True
@happy-dom/jest-environment,jest,10.0.0,20.11.2,True
@jest/core,jest,28.0.0,30.4.2,True
@jest/test-sequencer,jest,28.0.0,30.4.1,True
@jest/transform,jest,28.0.0,30.4.1,True
@koa/router,koa,8.0.0,15.7.0,True
@langchain/core,langchain,0.1.0,1.2.8,True
@langchain/langgraph,langgraph,1.1.2,1.4.10,True
@modelcontextprotocol/sdk,modelcontextprotocol-sdk,1.27.1,1.30.0,True
@nats-io/nats-core,nats,3.0.0,3.4.0,True
@nats-io/transport-node,nats,3.0.0,3.4.0,True
@node-redis/client,redis,1.0.0,1.0.6,True
@openai/agents,openai-agents,0.7.0,0.15.0,True
@opensearch-project/opensearch,opensearch,1.0.0,3.6.0,True
@prisma/client,prisma,6.1.0,7.9.1,True
@redis/client,redis,1.1.0,6.2.1,True
@smithy/core,aws-sdk,3.24.0,3.33.0,True
@smithy/smithy-client,aws-sdk,1.0.3,4.15.0,True
@supabase/auth-js,supabase,2.112.2,2.112.3,True
@supabase/functions-js,supabase,2.112.2,2.112.3,True
@supabase/postgrest-js,supabase,2.112.2,2.112.3,True
@supabase/realtime-js,supabase,2.112.2,2.112.3,True
@supabase/storage-js,supabase,2.112.2,2.112.3,True
@supabase/supabase-js,supabase,2.112.2,2.112.3,True
@wdio/local-runner,mocha,9.0.0,9.30.1,True
aerospike,aerospike,4.0.0,6.7.1,True
ai,ai,4.0.0,7.0.66,True
amqp10,amqp10,3.0.0,3.6.0,True
amqplib,amqplib,0.5.0,2.0.1,True
avsc,avsc,5.0.0,5.7.9,True
aws-sdk,aws-sdk,2.1.35,2.1693.0,True
browser-bunyan,browser-bunyan,1.0.0,1.8.0,True
bullmq,bullmq,5.66.0,6.1.1,True
bunyan,bunyan,1.0.0,2.0.5,True
cassandra-driver,cassandra-driver,3.0.0,4.9.0,True
child_process,child_process,22.0.0,26.7.0,True
connect,connect,2.2.2,3.7.0,True
couchbase,couchbase,3.0.7,4.7.1,True
cypress,cypress,12.0.0,15.20.1,True
dns,dns,22.0.0,26.7.0,True
durable-functions,azure-durable-functions,3.0.0,3.5.0,True
elasticsearch,elasticsearch,10.0.0,16.7.3,True
electron,electron,37.0.0,43.4.0,True
express,express,4.0.0,5.2.1,True
fastify,fastify,1.0.0,5.12.0,True
find-my-way,find-my-way,1.0.0,9.8.0,True
fs,fs,22.0.0,26.7.0,True
graphql,graphql,0.10.0,16.14.2,True
hapi,hapi,16.0.0,18.1.0,True
hono,hono,4.0.0,4.13.2,True
http,http,22.0.0,26.7.0,True
http2,http2,22.0.0,26.7.0,True
https,http,22.0.0,26.7.0,True
ioredis,ioredis,2.0.0,6.0.0,True
iovalkey,iovalkey,0.0.1,0.4.0,True
jest-circus,jest,28.0.0,30.4.2,True
jest-config,jest,28.0.0,30.4.2,True
jest-environment-jsdom,jest,28.0.0,30.4.1,True
jest-environment-node,jest,28.0.0,30.4.1,True
jest-runtime,jest,28.0.0,30.4.2,True
jest-worker,jest,28.0.0,30.4.1,True
kafkajs,kafkajs,1.4.0,2.2.4,True
koa,koa,2.0.0,3.2.1,True
koa-router,koa,7.0.0,14.0.0,True
mariadb,mariadb,2.0.4,3.5.3,True
memcached,memcached,2.2.0,2.2.2,True
mercurius,graphql,13.0.0,16.10.0,True
microgateway-core,microgateway-core,2.1.0,3.3.7,True
mocha,mocha,8.0.0,11.8.0,True
mocha-each,mocha,2.0.1,2.0.1,True
moleculer,moleculer,0.14.0,0.15.1,True
mongodb,mongodb-core,3.3.0,7.5.0,True
mongodb-core,mongodb-core,2.0.0,3.2.7,True
mongoose,mongoose,4.6.4,9.9.2,True
mysql,mysql,2.0.0,2.18.1,True
mysql2,mysql2,1.0.0,3.23.3,True
net,net,22.0.0,26.7.0,True
next,next,10.2.0,16.3.1,True
node:dns,dns,22.0.0,26.7.0,True
node:fs,fs,22.0.0,26.7.0,True
node:http,http,22.0.0,26.7.0,True
node:http2,http2,22.0.0,26.7.0,True
node:https,http,22.0.0,26.7.0,True
node:net,net,22.0.0,26.7.0,True
nyc,nyc,17.0.0,18.0.0,True
openai,openai,3.0.0,7.4.0,True
oracledb,oracledb,5.0.0,7.0.1,True
pg,pg,8.0.3,8.23.0,True
pino,pino,2.0.0,10.3.1,True
pino-pretty,pino,1.0.0,13.1.3,True
playwright,playwright,1.38.0,1.62.1,True
protobufjs,protobufjs,6.8.0,8.7.2,True
redis,redis,0.12.0,6.2.1,True
restify,restify,3.0.0,11.1.0,True
rhea,rhea,1.0.0,3.0.5,True
router,router,1.0.0,2.2.0,True
selenium-webdriver,selenium,4.11.0,4.47.0,True
sharedb,sharedb,1.0.0,6.0.1,True
tedious,tedious,1.0.0,20.0.0,True
tinypool,vitest,0.8.0,2.1.0,True
undici,undici,4.4.1,8.10.0,True
vitest,vitest,1.6.0,4.1.10,True
winston,winston,1.0.0,3.19.0,True
workerpool,mocha,6.0.0,10.0.3,True
ws,ws,8.0.0,8.21.3,True
